SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,4634 20th Rd N,Arlington,VA,22207,875000,4,4.0,Waverly Hills,3000,7851,1951,1,,,Sold,,,,,900000,2018-02-22,900000,http://www.redfin.com/VA/Arlington/4634-20th-Rd-N-22207/home/11234799,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10124251,Keller Williams Realty,N,Y,38.8970714,-77.1198195,false
Past Sale,Single Family Residential,6833 Lemon Rd,Mclean,VA,22101,924000,4,3.5,Devon Park,2370,10500,1959,2,Garage,,Sold,,,,,920000,2018-03-09,920000,http://www.redfin.com/VA/McLean/6833-Lemon-Rd-22101/home/9476154,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10126960,"Long & Foster Real Estate, Inc.",N,Y,38.9133724,-77.1817888,false
Past Sale,Single Family Residential,7701 Bridle Path Ln,Mclean,VA,22102,948000,4,2.5,Mc Lean Hunt,2603,17506,1969,2,Garage,,Sold,,,,2018-01-09,935000,2018-03-09,935000,http://www.redfin.com/VA/McLean/7701-Bridle-Path-Ln-22102/home/9376577,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10130999,Northern Virginia Homes,N,N,38.9397506,-77.2129635,false
Past Sale,Townhouse,1820 Fonthill Ct #23,Mclean,VA,22102,849900,3,4.0,Mclean Place Townhome,3000,,2003,2,Garage,,Sold,,,,,820000,2018-03-30,820000,http://www.redfin.com/VA/McLean/1820-Fonthill-Ct-22102/unit-23/home/9847483,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10130672,"RE/MAX Distinctive Real Estate, Inc.",N,Y,38.9154195,-77.2117672,false
Past Sale,Townhouse,8816 Hunting Lodge Ct,Vienna,VA,22182,720000,2,3.5,Tysons Village,2680,1050,1999,2,Garage,,Sold,,,,2017-12-02,715000,2018-01-31,715000,http://www.redfin.com/VA/Vienna/8816-Hunting-Lodge-Ct-22182/home/9384795,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10068354,Cap Real Estate LLC,N,Y,38.9305463,-77.2491477,false
Past Sale,Single Family Residential,9809 Squaw Valley Dr,Vienna,VA,22182,785000,4,4.0,Sun Valley,2479,20000,1979,2,Garage,,Sold,,,,2017-11-25,770000,2018-04-03,770000,http://www.redfin.com/VA/Vienna/9809-Squaw-Valley-Dr-22182/home/9363796,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10086905,Prosperity Realty LLC,N,Y,38.941755,-77.2876774,false
Past Sale,Townhouse,2050 Gallows Tree Ct,Vienna,VA,22182,728000,3,3.0,Hahn Property,2725,2725,1988,1,Garage,,Sold,,,,2018-01-07,713000,2018-03-30,713000,http://www.redfin.com/VA/Vienna/2050-Gallows-Tree-Ct-22182/home/9461483,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10065287,Northern Virginia Homes,N,Y,38.906634,-77.2241467,false
Past Sale,Single Family Residential,410 Jackson St,Falls Church,VA,22046,855000,4,2.5,Devonshire/jackson St/ct,2531,10955,1948,1,,,Sold,,,,2017-10-09,845000,2017-12-27,845000,http://www.redfin.com/VA/Falls-Church/410-Jackson-St-22046/home/12035031,"Metropolitan Regional Information Systems, Inc. (MRIS)",FA10056900,"McEnearney Associates, Inc.",Y,Y,38.8821444,-77.1865509,false
Past Sale,Townhouse,2317 Van Buren Ct N,Arlington,VA,22205,925000,,3.5,Fenwick Park,3535,1878,1995,2,Garage,,Sold,,,,,925000,2018-02-15,925000,http://www.redfin.com/VA/Arlington/2317-N-Van-Buren-Ct-22205/home/11239231,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10107335,"Weichert, REALTORS",N,Y,38.8895499,-77.1603571,false
Past Sale,Single Family Residential,1908 Hillside Dr,Falls Church,VA,22043,750000,5,2.5,Pimmit Hills,2746,11039,1954,2,Garage,,Sold,,,,2017-11-09,740000,2018-02-02,740000,http://www.redfin.com/VA/Falls-Church/1908-Hillside-Dr-22043/home/9473035,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10072366,"Long & Foster Real Estate, Inc.",N,Y,38.9137549,-77.1978713,false
Past Sale,Single Family Residential,1946 Leonard Rd,Falls Church,VA,22043,744562,6,3.0,Pimmit Hills,2510,10290,1953,1,Garage,,Sold,,,,2017-11-10,710000,2018-02-28,710000,http://www.redfin.com/VA/Falls-Church/1946-Leonard-Rd-22043/home/9470716,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10057823,RE/MAX Choice,N,Y,38.9121604,-77.2037557,false
MLS Listing,Single Family Residential,3830 N Abingdon St,Arlington,VA,22207,849900,3,3.0,Country Club Hills,2700,8101,1956,1,,92,Pending,,,,,849900,,,http://www.redfin.com/VA/Arlington/3830-N-Abingdon-St-22207/home/11230570,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10133402,Keller Williams Realty Falls Church,N,Y,38.918114,-77.1346519,false
MLS Listing,Single Family Residential,2841 Fairmont St,Falls Church,VA,22042,899900,5,4.5,Tremont Gardens,4813,10915,2016,2,Garage,56,Active,,,,,875000,2015-10-28,380000,http://www.redfin.com/VA/Falls-Church/2841-Fairmont-St-22042/home/9558003,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10158768,Keller Williams Capital Properties,N,Y,38.87536069,-77.20380056,false
Past Sale,Single Family Residential,2412 Ottawa St,Arlington,VA,22205,900000,5,3.0,,2616,8160,1964,1,,,Sold,,,,,885000,2018-01-29,885000,http://www.redfin.com/VA/Arlington/2412-N-Ottawa-St-22205/home/11225870,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10126190,"Wilson Realty Group, Inc.",N,Y,38.8937884,-77.1493927,false
Past Sale,Townhouse,2014 Westmoreland St,Arlington,VA,22213,925000,4,3.5,18 West,3318,1116,2005,1,,,Sold,,,,,907500,2018-01-31,907500,http://www.redfin.com/VA/Arlington/2014-N-Westmoreland-St-22213/home/11279199,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10094040,Optime Realty,N,Y,38.885414,-77.1621,false
Past Sale,Single Family Residential,8022 Birnam Wood Dr,Mclean,VA,22102,999900,4,2.5,Mc Lean Hamlet,2620,20391,1968,2,Garage,,Sold,,,,,963900,2018-02-28,963900,http://www.redfin.com/VA/McLean/8022-Birnam-Wood-Dr-22102/home/9376091,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10136872,"FASS Results, LLC.",N,Y,38.9405348,-77.2236527,false
New Construction Plan,Single Family Residential,Ardmore,Falls Church,VA,22043,1089000,4,2.5,Pimmit Hills,2764,,,2,Garage,,Active,,,,2017-03-11,945000,,,http://www.redfin.com/VA/Falls-Church/Pimmit-Hills/Ardmore/home/102976393,NewHomeFeed,Plan-264313,NewHomeFeed,N,Y,38.910693,-77.195201,false
Past Sale,Single Family Residential,7600 Bent Oak Ct,Falls Church,VA,22043,820000,3,3.5,Holly Crest,2740,11103,1993,2,Garage,,Sold,,,,2017-12-11,820000,2018-02-20,820000,http://www.redfin.com/VA/Falls-Church/7600-Bent-Oak-Ct-22043/home/9553532,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10040974,"Weichert, REALTORS",N,Y,38.886864,-77.2074389,false
Past Sale,Single Family Residential,2137 Pollard St N,Arlington,VA,22207,826750,4,2.5,Cherrydale,1659,5000,1927,1,Garage,,Sold,,,,2018-01-25,805000,2018-04-13,805000,http://www.redfin.com/VA/Arlington/2137-N-Pollard-St-22207/home/11233023,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10126951,TTR Sotheby's International Realty,N,Y,38.8980424,-77.1066036,false
Past Sale,Single Family Residential,7632 Shreve Rd,Falls Church,VA,22043,340000,4,4.5,Georgia Newman,5104,28832,2006,1,,,Sold,,,,,305000,2003-06-27,305000,http://www.redfin.com/VA/Falls-Church/7632-Shreve-Rd-22043/home/17117371,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX4515114,"Powerhouse Real Estate, Inc.",N,Y,38.8877302,-77.2093701,false

