SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,8020 Falstaff Rd,Mclean,VA,22102,995000,5,3.5,Mc Lean Hamlet,3172,16378,1967,2,Garage,,Sold,,,,2018-02-09,998888,2018-03-06,998888,http://www.redfin.com/VA/McLean/8020-Falstaff-Rd-22102/home/9376214,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10140611,Berkshire Hathaway HomeServices PenFed Realty,Y,Y,38.9387701,-77.2225748,false
Past Sale,Single Family Residential,7000 Vagabond Dr,Falls Church,VA,22042,675000,4,3.0,Roundtree,2913,14248,1963,1,,,Sold,,,,,671000,2018-02-28,671000,http://www.redfin.com/VA/Falls-Church/7000-Vagabond-Dr-22042/home/9636864,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10151953,Keller Williams Realty Falls Church,N,Y,38.8531545,-77.1852032,false
Past Sale,Single Family Residential,309 Courthouse Rd SW,Vienna,VA,22180,999900,4,3.5,Vienna,3585,16781,1988,2,Garage,,Sold,,,,,999900,2018-03-28,999900,http://www.redfin.com/VA/Vienna/309-Court-House-Rd-SW-22180/home/9452800,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10145823,Optime Realty,Y,Y,38.8959044,-77.2673026,false
MLS Listing,Single Family Residential,1403 Cola Dr,Mclean,VA,22101,995000,5,3.0,Potomac Hills,3900,15860,1965,1,Garage,70,Pending,,,,,995000,,,http://www.redfin.com/VA/McLean/1403-Cola-Dr-22101/home/9407717,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10148563,RE/MAX By Invitation,N,Y,38.9338881,-77.1512351,false
Past Sale,Townhouse,8031 Kidwell Hill Ct,Vienna,VA,22182,809000,3,3.5,Kidwell Towns,2820,2036,1997,2,Garage,,Sold,,,,2018-02-20,787500,2018-03-21,787500,http://www.redfin.com/VA/Vienna/8031-Kidwell-Hill-Ct-22182/home/9464393,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10146132,"Long & Foster Real Estate, Inc.",N,Y,38.908813,-77.2221749,false
Past Sale,Single Family Residential,6910 Westlawn Dr,Falls Church,VA,22042,775000,4,4.5,West Lawn,3840,7637,2011,2,Garage,,Sold,,,,,775000,2018-04-02,775000,http://www.redfin.com/VA/Falls-Church/6910-Westlawn-Dr-22042/home/9562307,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10143836,National Realty LLC,N,Y,38.8653828,-77.1839004,false
Past Sale,Single Family Residential,7125 Carol Ln,Falls Church,VA,22042,599900,3,2.5,Raymondale,2798,21781,1956,1,,,Sold,,,,,595000,2018-03-28,595000,http://www.redfin.com/VA/Falls-Church/7125-Carol-Ln-22042/home/9632406,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10140865,Keller Williams Realty Falls Church,N,Y,38.8558552,-77.1939632,false
MLS Listing,Single Family Residential,3029 Knoll Dr,Falls Church,VA,22042,874900,4,3.0,Sleepy Hollow,2800,22604,1954,2,Garage,79,Pending,,,,2018-02-01,889000,2010-05-13,530000,http://www.redfin.com/VA/Falls-Church/3029-Knoll-Dr-22042/home/9564705,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10137088,NBI  Realty LLC,N,Y,38.866372,-77.1642663,false
Past Sale,Single Family Residential,1004 Larrimore St,Arlington,VA,22205,765000,3,2.0,Dominion Hills,1200,6873,1946,1,,,Sold,,,,,804250,2018-03-06,804250,http://www.redfin.com/VA/Arlington/1004-N-Larrimore-St-22205/home/11241119,"Metropolitan Regional Information Systems, Inc. (MRIS)",AR10142191,"Evers & Co. Real Estate, A Long & Foster Company",N,Y,38.8767708,-77.1379328,false
Past Sale,Single Family Residential,6476 2nd St,Alexandria,VA,22312,875000,4,3.5,Weyanoke,4520,11000,2012,2,Garage,,Sold,,,,2017-11-29,875000,2018-03-16,875000,http://www.redfin.com/VA/Alexandria/6476-2nd-St-22312/home/9724010,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10087555,"Long & Foster Real Estate, Inc.",N,Y,38.8191988,-77.1555325,false
MLS Listing,Single Family Residential,4412 Brookside Dr,Alexandria,VA,22312,997750,4,4.5,Pinecrest,4540,18403,2019,2,Garage,135,Pending,,,,,997750,2017-11-13,650000,http://www.redfin.com/VA/Alexandria/4412-Brookside-Dr-22312/home/9722568,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10112047,Real Living Reserve Realtors,N,Y,38.8279466,-77.1515393,false
Past Sale,Single Family Residential,6625 Jessamine Ln,Annandale,VA,22003,899900,4,4.5,Callaway,3176,4789,2014,2,Garage,,Sold,,,,,875000,2018-03-16,875000,http://www.redfin.com/VA/Annandale/6625-Jessamine-Ln-22003/home/109690740,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10123606,"Fairfax Realty, Inc.",N,Y,38.8236785,-77.1718144,false
MLS Listing,Single Family Residential,6809 Alpine Dr,Annandale,VA,22003,939990,5,4.5,Roberts Place,4359,21000,2017,2,Garage,19,Active,,,,,939990,,,http://www.redfin.com/VA/Annandale/6809-Alpine-Dr-22003/home/108544521,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10190816,Fairfax Realty Select,N,Y,38.8288162,-77.1801853,false
Past Sale,Single Family Residential,9822 Faust Dr,Vienna,VA,22182,950000,4,3.5,Wolftrap Meadows,3476,38548,1985,2,Garage,,Sold,,,,,915000,2018-04-06,915000,http://www.redfin.com/VA/Vienna/9822-Faust-Dr-22182/home/9258308,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10138443,TTR Sothebys International Realty,N,Y,38.9471691,-77.2865552,false
Past Sale,Single Family Residential,2204 Lomond Ct,Vienna,VA,22181,899000,4,2.5,The Glade,3900,43647,1979,2,Garage,,Sold,,,,,899000,2018-03-12,899000,http://www.redfin.com/VA/Vienna/2204-Lomond-Ct-22181/home/9360430,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10140271,"National Capital Land & Development, Inc.",N,Y,38.924151,-77.31907,false
Past Sale,Single Family Residential,10731 Hunters Pl,Vienna,VA,22181,,4,3.5,22181,4518,,1990,,,,,,,,,,,,http://www.redfin.com/VA/Vienna/10731-Hunters-Pl-22181/home/9361565,,,,N,Y,38.9272473,-77.3195869,
Past Sale,Single Family Residential,1958 Barton Hill Rd,Reston,VA,20191,829000,4,2.5,Reston,3471,16180,1978,2,Garage,,Sold,,,,2018-02-13,823000,2018-03-28,823000,http://www.redfin.com/VA/Reston/1958-Barton-Hill-Rd-20191/home/9353344,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10054769,Redfin Corporation,N,Y,38.934499,-77.3224539,false
Past Sale,Single Family Residential,1707 Raleigh Hill Rd,Vienna,VA,22182,999900,5,4.5,Hunter Mill Estates,4890,25136,1996,3,Garage,,Sold,,,,2018-01-24,1006500,2018-02-28,1006500,http://www.redfin.com/VA/Vienna/1707-Raleigh-Hill-Rd-22182/home/9250762,"Metropolitan Regional Information Systems, Inc. (MRIS)",FX10128580,"Long & Foster Real Estate, Inc.",N,Y,38.9467462,-77.3038352,false
Past Sale,Single Family Residential,1703 Broadfield Ln,Vienna,VA,22182,,4,4.5,22182,4257,,1994,,,,,,,,,,2005-12-08,1250000,http://www.redfin.com/VA/Vienna/1703-Broadfield-Ln-22182/home/9359582,,,,N,Y,38.9423081,-77.3074479,
